# This data can be accessed openly but users of the data are requested to acknowledge the Canadian Space Agency and the CANOPUS team in their publications.
# The following CANOPUS reference paper should also be cited: 
# Rostoker G. et al. (1993) CANOPUS - a ground-based instrument array for remote sensing the high latitude ionosphere during the ISTP/GGS program
# Site Lat Long yyyymmdd CoordSys Units no of records
 RANK 62.824 267.890 19860118 GEODETIC nT 15104
 
# Date(dd/mm/yyyy),time(hh:mi:ss),X,Y,Z,F=. if the data is valid anything else the data is suspect.
1986/01/18,03:29:06,820.400,-0.100,-0.100,.
1986/01/18,03:29:11,1093.700,-0.100,0.500,.
1986/01/18,03:29:16,410.400,-0.100,0.000,.
1986/01/18,03:29:21,-547.600,-0.100,-1.100,.
1986/01/18,03:29:26,-820.900,0.000,-1.700,.
1986/01/18,03:29:31,-136.900,0.000,-1.200,.
1986/01/18,03:29:36,820.400,-0.100,-0.100,.
1986/01/18,03:29:41,1093.700,-0.100,0.500,.
1986/01/18,03:29:46,410.400,-0.100,0.000,.
1986/01/18,03:29:51,-547.600,-0.100,-1.100,.
1986/01/18,03:29:56,-820.900,0.000,-1.700,.
1986/01/18,03:30:01,-136.900,0.000,-1.200,.
1986/01/18,03:30:06,820.400,-0.100,-0.100,.
1986/01/18,03:30:11,1093.700,-0.100,0.500,.
1986/01/18,03:30:16,410.400,-0.100,0.000,.
1986/01/18,03:30:21,-547.600,-0.100,-1.100,.
1986/01/18,03:30:26,-820.900,0.000,-1.700,.
1986/01/18,03:30:31,-136.900,0.000,-1.200,.
1986/01/18,03:30:36,820.400,-0.100,-0.100,.
1986/01/18,03:30:41,1093.700,-0.100,0.500,.
1986/01/18,03:30:46,410.400,-0.100,0.000,.
1986/01/18,03:30:51,-547.600,-0.100,-1.100,.
1986/01/18,03:30:56,-820.900,0.000,-1.700,.
1986/01/18,03:31:01,-136.900,0.000,-1.200,.
1986/01/18,03:31:06,820.400,-0.100,-0.100,.
1986/01/18,03:31:11,1093.700,-0.100,0.500,.
1986/01/18,03:31:16,410.400,-0.100,0.000,.
1986/01/18,03:31:21,-547.600,-0.100,-1.100,.
1986/01/18,03:31:26,-820.900,0.000,-1.700,.
1986/01/18,03:31:31,-136.900,0.000,-1.200,.
1986/01/18,03:31:36,820.400,-0.100,-0.100,.
1986/01/18,03:31:41,1093.700,-0.100,0.500,.
1986/01/18,03:31:46,410.400,-0.100,0.000,.
1986/01/18,03:31:51,-547.600,-0.100,-1.100,.
1986/01/18,03:31:56,-820.900,0.000,-1.700,.
1986/01/18,03:32:01,-136.900,0.000,-1.200,.
1986/01/18,03:32:06,820.400,-0.100,-0.100,.
1986/01/18,03:32:11,1093.700,-0.100,0.500,.
1986/01/18,03:32:16,410.400,-0.100,0.000,.
1986/01/18,03:32:21,-547.600,-0.100,-1.100,.
1986/01/18,03:32:26,-820.900,0.000,-1.700,.
1986/01/18,03:32:31,-136.900,0.000,-1.200,.
1986/01/18,03:32:36,820.400,-0.100,-0.100,.
1986/01/18,03:32:41,1093.700,-0.100,0.500,.
1986/01/18,03:32:46,410.400,-0.100,0.000,.
1986/01/18,03:32:51,-547.600,-0.100,-1.100,.
1986/01/18,03:32:56,-820.900,0.000,-1.700,.
1986/01/18,03:33:01,-136.900,0.000,-1.200,.
1986/01/18,03:33:06,820.400,-0.100,-0.100,.
1986/01/18,03:33:11,1093.700,-0.100,0.500,.
1986/01/18,03:33:16,410.400,-0.100,0.000,.
1986/01/18,03:33:21,-547.600,-0.100,-1.100,.
1986/01/18,03:33:26,-820.900,0.000,-1.700,.
1986/01/18,03:33:31,-136.900,0.000,-1.200,.
1986/01/18,03:33:36,820.400,-0.100,-0.100,.
1986/01/18,03:33:41,1093.700,-0.100,0.500,.
1986/01/18,03:33:46,410.400,-0.100,0.000,.
1986/01/18,03:33:51,-547.600,-0.100,-1.100,.
1986/01/18,03:33:56,-820.900,0.000,-1.700,.
1986/01/18,03:34:01,-136.900,0.000,-1.200,.
1986/01/18,03:34:06,820.400,-0.100,-0.100,.
1986/01/18,03:34:11,1093.700,-0.100,0.500,.
1986/01/18,03:34:16,410.400,-0.100,0.000,.
1986/01/18,03:34:21,-547.600,-0.100,-1.100,.
1986/01/18,03:34:26,-820.900,0.000,-1.700,.
1986/01/18,03:34:31,-136.900,0.000,-1.200,.
1986/01/18,03:34:36,820.400,-0.100,-0.100,.
1986/01/18,03:34:41,1093.700,-0.100,0.500,.
1986/01/18,03:34:46,410.400,-0.100,0.000,.
1986/01/18,03:34:51,-547.600,-0.100,-1.100,.
1986/01/18,03:34:56,-820.900,0.000,-1.700,.
1986/01/18,03:35:01,-136.900,0.000,-1.200,.
1986/01/18,03:35:06,820.400,-0.100,-0.100,.
1986/01/18,03:35:11,1093.700,-0.100,0.500,.
1986/01/18,03:35:16,410.400,-0.100,0.000,.
1986/01/18,03:35:21,-547.600,-0.100,-1.100,.
1986/01/18,03:35:26,-820.900,0.000,-1.700,.
1986/01/18,03:35:31,-136.900,0.000,-1.200,.
1986/01/18,03:35:36,820.400,-0.100,-0.100,.
1986/01/18,03:35:41,1093.700,-0.100,0.500,.
1986/01/18,03:35:46,410.400,-0.100,0.000,.
1986/01/18,03:35:51,-547.600,-0.100,-1.100,.
1986/01/18,03:35:56,-820.900,0.000,-1.700,.
1986/01/18,03:36:01,-136.900,0.000,-1.200,.
1986/01/18,03:36:06,820.400,-0.100,-0.100,.
